ConnectionDeviceId,gatewaydataexp
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:03.137Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:05.14Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",null,""ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:05.452Z"",false]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:07.14Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:09.143Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:11.143Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",null,""ra-cip-value://driver-cip/192.168.1.10/SuperFast_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:11.455Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:13.143Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:15.143Z"",true]}]]}"
ftedge_gateway_01,"{""schema"":[{""name"":""mimeType"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""model_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""tag_id"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""vqts"",""dataType"":{""elementType"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""containsNull"":true},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""x-ra/cip/bool"",""test-model.New node.Slow_Flash.Flash_Output"",""ra-cip-value://driver-cip/192.168.1.10/Slow_Flash.Flash_Output"",[{""schema"":[{""name"":""q"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""t"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}},{""name"":""v"",""dataType"":{},""nullable"":true,""metadata"":{""map"":{}}}],""values"":[""192"",""2021-12-17T17:46:17.143Z"",true]}]]}"
